AqsID,Site Name,Lat,Long
191530011,SHELDAHL,41.849433,-93.697616
190170011,"Waverly, Airport",42.743099,-92.5131
190450021,"Clinton, Rainbow Park",41.875,-90.177498
190851101,"Pisgah, Harrison County",41.668098,-95.9431
191130028,KIRKWOOD,41.910599,-91.651901
191130033,COGGON,42.2806,-91.5269
191471002,"Emmetsburg, ILCC",43.123299,-94.693298
191630014,Scott County Park,41.6992,-90.521896
191690011,SLATER,41.8829,-93.6879
191810022,Lake Ahquabi,41.2853,-93.5839
191530030,CARPENTER,41.6031,-93.643303
551330027,WAUKESHA - CLEVELAND AVE,43.0203,-88.215
270495302,Stanton,44.471901,-93.013298
550790010,MILWAUKEE 16TH ST,43.0178,-87.9333
191032001,"Iowa City, Hoover School",41.658195,-91.503471
191130040,PUBLIC HEALTH,41.9767,-91.6878
550630012,LACROSSE DOT,43.7781,-91.225
191138040,PUBLIC HEALTH 4,41.97677,-91.68766
460290002,Watertown,44.89965,-97.128802
460110003,Research Farm,44.348604,-96.807299
461270001,UC1,42.751518,-96.707208
64001,Experimental Lakes,49.6639,-93.7211
270031001,East Bethel,45.400799,-93.201103
270031002,Blaine,45.1425,-93.2139
270750005,Ely,47.9464,-91.4953
271370034,Voyageurs NP,48.4128,-92.8292
550090026,GREEN BAY UW,44.53,-87.9089
550210015,COLUMBUS,43.3144,-89.1089
550250041,MADISON EAST,43.1008,-89.3572
550270001,Horicon Wildlife Area,43.46611,-88.621109
550290004,NEWPORT,45.2378,-86.9936
550390006,FOND DU LAC,43.6878,-88.4219
550590019,CHIWAUKEE,42.5047,-87.8111
550610002,KEWAUNEE,44.4428,-87.5061
550710007,MANITOWOC,44.1386,-87.6161
550730012,LAKE DUBAY,44.7072,-89.7697
550790026,MILWAUKEE SER DNR,43.0611,-87.9125
550790085,BAYSIDE,43.1811,-87.9006
550870009,APPLETON AAL,44.3069,-88.3956
550890008,GRAFTON,43.3431,-87.9208
550890009,HARRINGTON BCH,43.4981,-87.81
551170006,SHEBOYGAN,43.665,-87.7161
551198001,PERKINSTOWN,45.2039,-90.6
551250001,TROUT LAKE,46.0481,-89.6536
551270005,LAKE GENEVA,42.58,-88.4992
270953051,Mille Lacs,46.2056,-93.7589
380171004,Fargo NW,46.933601,-96.854698
380570004,Beulah North,47.2986,-101.7669
550410007,POTAWATOMI,45.5639,-88.81
271377550,Duluth-WDSE,46.8183,-92.0892
190130009,"Waterloo, Water Tower",42.5014,-92.315804
270530962,Minneapolis-Near Road,44.9653,-93.2551
551050030,Beloit-Converse,42.51831,-89.06347
550030010,BAD RIVER TRIBAL SCHOOL - ODANAH,46.6144,-90.6986
191770006,Lake Sugema,40.693298,-92.006104
550090005,GREEN BAY E HIGH,44.5167,-87.9939
270353204,Brainerd,46.3944,-94.1433
380130004,Lostwood NWR,48.641899,-102.402199
270052013,Detroit Lakes,46.8511,-95.8467
551199991,Perkinstown,45.2066,-90.5969
190850007,"Pisgah, Forestry Office",41.832199,-95.928101
380250003,Dunn Center,47.320301,-102.526398
380530002,TRNP-NU,47.6011,-103.2642
380650002,Hannover,47.1858,-101.4281
551110007,Devils Lake,43.4356,-89.6803
191630017,Buffalo,41.467201,-90.688301
190450019,"Clinton, Chancy Park",41.823101,-90.211899
191630015,"Davenport, 10th & Vine",41.529999,-90.587502
270834210,Marshall,44.4572,-95.835
70118,Winnipeg_Scotia,49.9319,-96.8631
70119,Winnipeg_Ellens,49.9489,-97.3964
70203,Brandon,49.8422,-99.9189
380150003,Bismarck Residential,46.8253,-100.7681
191630020,"Davenport, Hayes School",41.512032,-90.624016
550790058,Milwaukee College Ave,42.930569,-87.932106
551170009,Sheboygan-Haven,43.81523,-87.79194
381050003,Williston,48.152822,-103.639583
271390505,Shakopee,44.789398,-93.512497
270317810,Grand Portage,47.9721,-89.6908
270072304,Red Lake Nation,47.878159,-95.029172
270370480,Lakeville-Near Road,44.706123,-93.285803
270177417,Fond du Lac,46.713694,-92.511722
551010020,Racine-Payne and Dolan,42.7783,-87.805
191370002,Viking Lake State Park,40.970001,-95.044998
271230871,St. Paul-Harding H.S.,44.9594,-93.0356
460330132,WIND CAVE,43.557613,-103.483658
460710001,Badlands,43.746944,-101.941109
550350014,Eau Claire,44.761398,-91.413002
460650003,Pierre,44.373786,-100.287269
270370470,Apple Valley,44.7383,-93.2372
270530963,Minneapolis-Phillips,44.9536,-93.2581
270530909,Minneapolis-Lowry Av,45.0121,-93.2767
270530910,Minneapolis-Pacific St,45.0083,-93.277
271713201,St. Michael,45.2108,-93.6686
271453052,St. Cloud,45.55,-94.1333
271095008,Rochester,43.9947,-92.4497
380070002,Theodore Roosevelt NP - Painted Canyon VC,46.949699,-103.514397
550430009,Potosi,42.692131,-90.696373
271377554,West Duluth,46.743889,-92.166946
271636016,Marine on St. Croix,45.168,-92.7651
460930001,Black Hawk,44.155636,-103.315765
461030020,Credit Union,44.087397,-103.273777
460990008,Sioux Falls,43.54792,-96.700768
271377001,Virginia,47.5212,-92.5393
271230868,St. Paul - Downtown,44.9507,-93.0985
550550009,Jefferson-Laatsch,43.0034,-88.8283
191390019,"Muscatine, High School East Campus",41.4014,-91.0684
550590025,Kenosha-Water Tower,45.296,-87.886
thunder-bay,Thunder Bay,48.3794,-89.29
550790052,MILW HAVENWOODS,43.1289,-87.9708
191390016,"Muscatine, Greenwood",41.419201,-91.070801
271231907,St. Paul Payne - Phalen,44.971539,-93.082984
381010003,RYDER,47.940861,-101.571583
550790059,MILWAUKEE I-94 (FAA),42.955002,-87.934097
550850996,RHINELANDER,45.6453,-89.4125
191130031,SCOTTISH RITE,41.983334,-91.662781
191390015,"Muscatine, Garfield School",41.401402,-91.0681
550370001,POPPLE RVR,45.7956,-88.4006
271636015,Stillwater-Wash. County Garage,45.117199,-92.855003
270530969,Minneapolis-Wenonah School,44.9006,-93.238297
191139028,KIRKWOOD2,41.9106,-91.6519
191130041,TAIT CUMMINS,41.948669,-91.639543
550270007,MAYVILLE,43.435001,-88.527802
551230008,WILDCAT MTN,43.702202,-90.568298
550790041,MILWAUKEE UW-N,43.075298,-87.884399
551310009,SLINGER,43.327202,-88.220299
551091002,Somerset,45.125,-92.667198
550850004,HARSHAW,45.6781,-89.6322
191630019,"Davenport, Black Hawk",41.516399,-90.618896
191137040,PUBLIC HEALTH 3,41.9767,-91.6875
460990007,HILLTOP,43.5375,-96.6819
270531905,Minneapolis-Harrison,44.981393,-93.300703
270531906,Minneapolis-Lyndale,44.946341,-93.277353
271377549,Duluth-Michigan St,46.77107,-92.11732
271231903,St. Paul - Westside,44.927318,-93.067534
270213410,Leech Lake Nation: Cass Lake,47.38443,-94.60166
461270003,UC3,42.880212,-96.785339
551050024,BELOIT,42.5292,-89.015
270531904,Minneapolis - Greenway,44.95208,-93.24428
191130037,ARMY RESERVE,42.0083,-91.6786
190339018,M. City-FDMSPM10,43.169399,-93.202202
271377551,Duluth Lincoln Park,46.766701,-92.133102
191390020,"Muscatine, Musser Park",41.407799,-91.0625
550550002,JEFFERSON,43.0014,-88.8122
551010017,RACINE,42.7139,-87.7986
271695220,Winona,44.052838,-91.642692
270177416,Fond du Lac,46.7053,-92.5236
550790056,MILWAUKEE COLLEGE AVE.-NR,42.93257,-87.93434
271230050,St. Paul-University Ave,44.9556,-93.1459
461270002,UC2,42.850975,-96.747425
270530954,Minneapolis-Downtown,44.979,-93.2737
271370018,Duluth-Downtown,46.7834,-92.1027
191531579,SHELDAHL,41.849433,-93.697616
